id;cantidad;descripcion;imagen;nombre;precio;usuario_id
1;44;Smartphone de gama alta con pantalla Super Retina XDR y chip A17 Bionic.;default.jpg;iPhone 15 Pro Max;1968074;1
2;41;Teléfono con pantalla Dynamic AMOLED y cámara de 200 MP.;default.jpg;Samsung Galaxy S23 Ultra;678534;1
3;22;Smartphone con Android puro y cámara avanzada.;default.jpg;Google Pixel 8 Pro;1726641;1
4;34;Smartphone económico con pantalla AMOLED.;default.jpg;Xiaomi Redmi Note 12;100655;1
5;24;Teléfono con pantalla Fluid AMOLED y carga rápida.;default.jpg;OnePlus 11;1856977;1
6;29;Laptop ultradelgada con chip M2 y pantalla Retina.;default.jpg;MacBook Air M2;319549;1
7;45;Laptop compacta con pantalla InfinityEdge.;default.jpg;Dell XPS 13;1341611;1
8;35;Convertible 2 en 1 con pantalla táctil.;default.jpg;HP Spectre x360;1355948;1
9;44;Laptop empresarial ultraligera.;default.jpg;Lenovo ThinkPad X1 Carbon;212890;1
10;27;Laptop gaming con GPU NVIDIA RTX 3060.;default.jpg;Asus ROG Zephyrus G14;1889320;1
11;48;Tablet con pantalla Liquid Retina XDR y chip M2.;default.jpg;"iPad Pro 12.9""";1954873;1
12;42;"Tablet con pantalla AMOLED de 14.6"" y S Pen.";default.jpg;Samsung Galaxy Tab S8 Ultra;463906;1
13;42;Tablet convertible con Windows 11.;default.jpg;Microsoft Surface Pro 9;1393187;1
14;34;Tablet económica con pantalla Full HD.;default.jpg;Amazon Fire HD 10;334355;1
15;37;Tablet con pantalla 2K y soporte para lápiz óptico.;default.jpg;Huawei MatePad Pro;1632263;1
16;36;Cargador Qi compatible con dispositivos Samsung.;default.jpg;Cargador inalámbrico Samsung;465445;1
17;39;Funda protectora de silicona.;default.jpg;Funda para iPhone 15;1828636;1
18;12;Batería portátil con carga rápida.;default.jpg;Power Bank Anker 20000mAh;680839;1
19;13;Soporte universal para escritorio o coche.;default.jpg;Soporte para teléfono;297786;1
20;17;Vidrio templado para protección contra rayones.;default.jpg;Protector de pantalla;416654;1
21;18;Auriculares inalámbricos con cancelación de ruido.;default.jpg;AirPods Pro (2ª generación);819695;1
22;6;Auriculares over-ear con cancelación de ruido líder.;default.jpg;Sony WH-1000XM5;665571;1
23;39;Altavoz Bluetooth portátil y resistente al agua.;default.jpg;JBL Flip 6;345006;1
24;41;Auriculares true wireless con sonido Hi-Res.;default.jpg;Soundcore Liberty 4;880553;1
25;28;Micrófono USB para streaming y grabación.;default.jpg;Micrófono Blue Yeti;513507;1
26;14;Reloj inteligente con monitor de salud y GPS.;default.jpg;Apple Watch Series 9;814923;1
27;27;Smartwatch con pantalla AMOLED y seguimiento avanzado.;default.jpg;Samsung Galaxy Watch 6;1440022;1
28;21;Pulsera de actividad con monitor de frecuencia cardíaca.;default.jpg;Fitbit Charge 5;767316;1
29;48;Reloj para corredores con métricas avanzadas.;default.jpg;Garmin Forerunner 245;1417150;1
30;31;Pulsera económica con pantalla AMOLED.;default.jpg;Xiaomi Mi Band 7;1971672;1
31;30;Cámara mirrorless full-frame con grabación 8K.;default.jpg;Canon EOS R5;1922188;1
32;42;Cámara mirrorless con sensor de 33 MP.;default.jpg;Sony Alpha 7 IV;19176;1
33;36;Dron con cámara Hasselblad.;default.jpg;DJI Mavic 3;1539168;1
34;21;Cámara de acción con estabilización HyperSmooth 5.0.;default.jpg;GoPro Hero 11 Black;461417;1
35;32;Cámara mirrorless con doble slot para tarjetas.;default.jpg;Nikon Z6 II;945150;1
36;22;Consola de última generación con gráficos 4K.;default.jpg;PlayStation 5;989524;1
37;42;Consola con soporte para 4K y 120 FPS.;default.jpg;Xbox Series X;1213408;1
38;13;Consola híbrida con pantalla OLED mejorada.;default.jpg;Nintendo Switch OLED;652152;1
39;30;Consola portátil para juegos de PC.;default.jpg;Steam Deck;861269;1
40;16;Teclado mecánico para gaming con switches intercambiables.;default.jpg;Logitech G Pro X;1955419;1
41;19;Monitor gaming 4K con 144Hz.;default.jpg;LG UltraGear 27GP950;1300506;1
42;48;Monitor curvo ultrawide con resolución QHD.;default.jpg;Samsung Odyssey G9;910284;1
43;43;Monitor 4K con precisión de color para diseño.;default.jpg;Dell UltraSharp U2723QE;409725;1
44;47;Monitor gaming WQHD con 165Hz.;default.jpg;Asus ROG Swift PG279Q;515081;1
45;34;Monitor curvo Full HD con 240Hz.;default.jpg;AOC C27G2ZE;326509;1
46;42;Disco sólido NVMe con velocidades de hasta 3500 MB/s.;default.jpg;SSD Samsung 970 EVO Plus 1TB;1010118;1
47;17;Disco duro portátil con USB 3.0.;default.jpg;WD My Passport 2TB;1130529;1
48;39;Tarjeta de memoria para cámaras y drones.;default.jpg;SanDisk Extreme Pro SDXC 128GB;40608;1
49;46;Disco duro interno para PC y servidores.;default.jpg;Seagate BarraCuda 4TB;179778;1
50;14;Disco duro resistente a golpes y agua.;default.jpg;LaCie Rugged Mini 1TB;1580169;1
51;23;Router Wi-Fi 6 con doble banda.;default.jpg;Router ASUS RT-AX88U;1138942;1
52;47;Sistema Mesh Wi-Fi 6 para cobertura en toda la casa.;default.jpg;TP-Link Deco X90;164319;1
53;12;Router gaming con Wi-Fi 6 y 12 streams.;default.jpg;Netgear Nighthawk AX12;1154607;1
54;25;Sistema Mesh con asistente de Google integrado.;default.jpg;Google Nest Wifi;521416;1
